course_code,department,course_number,course_title,syllabus_link
CLAS 1120E,CLAS,1120E,Slavery in the Ancient World,https://coursetools.brown.edu/syllabus/CLAS:1120E:2023-Spring:S01
CLAS 1181,CLAS,1181,Encountering Monsters in Comparative Literature (COLT 1815U),missing
CLAS 1202,CLAS,1202,Foundations Classical Heritage (HIST 1202),missing
CLAS 1210,CLAS,1210,"Mediterranean Culture Wars: Archaic Greek History, c. 1200 to 479 BC",https://coursetools.brown.edu/syllabus/CLAS:1210:2023-Spring:S01
CLAS 1750W,CLAS,1750W,Outside Philosophy (HMAN 1975W),missing
CLAS 1770,CLAS,1770,"Ancient Law, Society and Jurisprudence",https://coursetools.brown.edu/syllabus/CLAS:1770:2023-Spring:S01
CLAS 1930F,CLAS,1930F,Women Writing Epic,missing
CLAS 2010B,CLAS,2010B,Roman Topography,missing
CLAS 2930A,CLAS,2930A,Alexandrian Poetry,https://coursetools.brown.edu/syllabus/CLAS:2930A:2023-Spring:S01
CLAS 2970,CLAS,2970,Preliminary Examination Preparation,missing
CLAS 2990,CLAS,2990,Thesis Preparation,missing
CLPS 0100,CLPS,0100,Learning and Conditioning,https://coursetools.brown.edu/syllabus/CLPS:0100:2023-Spring:S01
CLPS 0220,CLPS,0220,Making Decisions,https://coursetools.brown.edu/syllabus/CLPS:0220:2023-Spring:S01
CLPS 0540,CLPS,0540,Simulating Reality: The (Curious) History and Science of Immersive Experiences,https://coursetools.brown.edu/syllabus/CLPS:0540:2023-Spring:S01
CLPS 0610,CLPS,0610,Children's Thinking: The Nature of Cognitive Development,https://coursetools.brown.edu/syllabus/CLPS:0610:2023-Spring:S01
CLPS 0700,CLPS,0700,Social Psychology,missing
CLPS 0800,CLPS,0800,Language and the Mind,https://coursetools.brown.edu/syllabus/CLPS:0800:2023-Spring:S01
CLPS 0900,CLPS,0900,Statistical Methods,https://coursetools.brown.edu/syllabus/CLPS:0900:2023-Spring:S01
CLPS 0950,CLPS,0950,Introduction to programming,missing
CLPS 1250,CLPS,1250,Human Factors,https://coursetools.brown.edu/syllabus/CLPS:1250:2023-Spring:S01
CLPS 1341,CLPS,1341,Lexical Semantics,https://coursetools.brown.edu/syllabus/CLPS:1341:2023-Spring:S01
CLPS 1391,CLPS,1391,Indigenous Languages of the Americas: An Introduction (ANTH 1840),missing
CLPS 1400,CLPS,1400,The Neural Bases of Cognition,https://coursetools.brown.edu/syllabus/CLPS:1400:2023-Spring:S01
CLPS 1420,CLPS,1420,Cognitive Neuropsychology,https://coursetools.brown.edu/syllabus/CLPS:1420:2023-Spring:S01
CLPS 1470,CLPS,1470,Mechanisms of Motivated Decision Making,missing
CLPS 1480B,CLPS,1480B,Cognitive Aging and Dementia,https://coursetools.brown.edu/syllabus/CLPS:1480B:2023-Spring:S01
